,Cities,Countries,Population
12754,Ferești,Rumänien,2151.0
12755,Vinné,Slovakien,1608.0
12756,Taldykorgan,Kazakstan,116558.0
12757,Batibati,Indonesien,0.0
12758,Corrego Grande,Brasilien,5000.0
12759,Civitaquana,Italien,450.0
12760,Sankt Paul im Levanttal,Austria,1735.0
12761,Corneşti,Rumänien,1797.0
12762,Gresik,Indonesien,73629.0
12763,Electric City,USA,1012.0
12764,Ban Selaphum,Thailand,17412.0
12765,Tālbahat,Indien,13789.0
12766,Fubine,Italien,1231.0
12767,Canicattì,Italien,32918.0
12768,Ca' d'Andrea,Italien,216.0
12769,Oberwinterthur (Kreis 2) / Zinzikon,Schweiz,1842.0
12770,Zeewolde,Nederländerna,19022.0
12771,Huaquirca,Peru,0.0
12772,Fondón,Spanien,947.0
12773,Ghatkesar,Indien,19243.0
12774,Novotroitskaya,Ryssland,7910.0
12775,Băbana,Rumänien,2809.0
12776,St. Johns,USA,40000.0
12777,Pabuaran,Indonesien,0.0
12778,Paya,Panama,0.0
12779,Gózd,Polen,909.0
12780,Middle Valley,USA,12684.0
12781,Joppatowne,USA,12616.0
12782,Charleston,USA,21196.0
12783,Alustante,Spanien,278.0
12784,Sestriere,Italien,838.0
12785,Bastida de' Dossi,Italien,199.0
12786,Nagasaki,Japan,410204.0
12787,Scoresby,Australien,5892.0
12788,Diano San Pietro,Italien,551.0
12789,Escuintla,Guatemala,103165.0
12790,Fraile Pintado,Argentina,13682.0
12791,Bad Gastein,Austria,3980.0
12792,Palhi,Filippinerna,2185.0
12793,Talavera,Filippinerna,64610.0
12794,Messei,Frankrike,1910.0
12795,Akert,Nederländerna,2000.0
12796,Santiago de María,El Salvador,15032.0
12797,Morcellement Saint André,Mauritius,6150.0
12798,Yên Cát,Vietnam,0.0
12799,Red Deer,Kanada,73593.0
12800,Basarabeasca,Moldavien,10809.0
12801,Siedliska,Polen,1700.0
12802,Jamabalod,Filippinerna,2742.0
12803,San Pablo,Costa Rica,21662.0
12804,Shreve,USA,1497.0
12805,Ørnes,Norge,1538.0
12806,Arc-sur-Tille,Frankrike,2412.0
12807,Jícamas,Mexiko,1623.0
12808,Borgo,Italien,6587.0
12809,Çamoluk,Turkiet,0.0
12810,Saint-Mathieu-de-Tréviers,Frankrike,4482.0
12811,Ferme-Neuve,Kanada,2115.0
12812,Héctor Caballero,Mexiko,5812.0
12813,Duy Xuyên,Vietnam,0.0
12814,Caprino,Italien,2305.0
12815,Novovoronezh,Ryssland,37392.0
12816,Gostyń,Polen,3276.0
12817,Acherítou,Cypern,1721.0
12818,Palaiá Epídavros,Grekland,1618.0
12819,Zizurkil,Spanien,0.0
12820,Alcantarilha,Portugal,4972.0
12821,Erlen,Schweiz,3057.0
12822,Orţişoara,Rumänien,4042.0
12823,Saint Bees,United Kingdom,1644.0
12824,Chādegān,Iran,0.0
12825,Pototano,Indonesien,5000.0
12826,Beāwar,Indien,130777.0
12827,Namiquipa,Mexiko,1752.0
12828,Fenwick,United Kingdom,1070.0
12829,Neyagawa,Japan,238549.0
12830,Palazu Mare,Rumänien,3714.0
12831,Calañas,Spanien,4506.0
12832,Fayetteville,USA,16990.0
12833,Los Llanos,Puerto Rico,2301.0
12834,Ar Ruways,Qatar,3334.0
12835,Sancak,Turkiet,0.0
12836,McIntosh,USA,175.0
12837,Abilene,USA,121721.0
12838,Cornago,Spanien,535.0
12839,Maser,Italien,1498.0
12840,Morestel,Frankrike,3307.0
12841,Badarwās,Indien,11133.0
12842,Murygino,Ryssland,7996.0
12843,Oriente 1ra. Sección (Santo Domingo),Mexiko,1244.0
12844,Yuen Long Kau Hui,Hong Kong,141900.0
12845,Pozo de Almoguera,Spanien,152.0
12846,Aş Şūrah aş Şaghīrah,Syria,0.0
12847,Hoxut,Kina,0.0
12848,Bruflat,Norge,0.0
12849,Muritiba,Brasilien,22388.0
12850,Guadalupe Victoria,Mexiko,1369.0
12851,Bodio,Italien,2070.0
12852,Ucú,Mexiko,2601.0
12853,Porspoder,Frankrike,1651.0
12854,Hohenau,Tyskland,3536.0
12855,Turcoaia,Rumänien,3646.0
12856,Mulda,Tyskland,2936.0
12857,Rączna,Polen,1736.0
12858,Cadiz,Spanien,126766.0
12859,Torella dei Lombardi,Italien,852.0
12860,Parre,Italien,2651.0
12861,West Frankfort,USA,8067.0
12862,Großkirchheim,Austria,0.0
12863,Belmonte de Tajo,Spanien,1199.0
12864,Omoku,Nigeria,11625.0
12865,Hamcearca,Rumänien,1624.0
12866,Pantops,USA,3027.0
12867,Rincón de Barrabás,Mexiko,1110.0
12868,Kāvali,Indien,83352.0
12869,Kundian,Pakistan,35406.0
12870,Vignacourt,Frankrike,2223.0
12871,Scorţaru Nou,Rumänien,1483.0
12872,Agrarnoye,Ukraina,3754.0
12873,Gateway,USA,8401.0
12874,Krouna,Czechia,1352.0
12875,Petreşti,Rumänien,6020.0
12876,Rosneath,United Kingdom,1260.0
12877,Jesús Nazareno,Mexiko,2821.0
12878,Nago-Torbole,Italien,2679.0
12879,Brantice,Czechia,1215.0
12880,Nōgata,Japan,56821.0
12881,Sibucao,Filippinerna,2829.0
12882,Chauriat,Frankrike,1458.0
12883,El Pardo,Spanien,3656.0
12884,El Playón,Colombia,5334.0
12885,Lắk,Vietnam,0.0
12886,Maryborough,Australien,7046.0
12887,Torrelaguna,Spanien,4012.0
12888,Early,USA,2833.0
12889,Ponce Inlet,USA,3157.0
12890,San José Villa de Allende,Mexiko,1354.0
12891,Sylvan Lake,Kanada,10518.0
12892,Sovramonte,Italien,1697.0
12893,Villaescusa,Spanien,3434.0
12894,Raimbeaucourt,Frankrike,4450.0
12895,Poncarale,Italien,4774.0
12896,Lexington Park,USA,11626.0
12897,Lejanías,Colombia,5157.0
12898,Talty,USA,1927.0
12899,Ghat,Libyen,24347.0
12900,Seligenstadt,Tyskland,19569.0
12901,Transua,Elfenbenskusten,0.0
12902,Usseaux,Italien,56.0
12903,Certosa di Pavia,Italien,3320.0
12904,King Cove,USA,1009.0
12905,Bechtolsheim,Tyskland,1489.0
12906,Păcureţi,Rumänien,2252.0
12907,Ahuillé,Frankrike,1451.0
12908,Rocheservière,Frankrike,2404.0
12909,Corlaer,Nederländerna,2700.0
12910,Zăbrani,Rumänien,4392.0
12911,Barus,Indonesien,0.0
12912,Pisignano,Italien,1208.0
12913,Leiderdorp,Nederländerna,25966.0
12914,Măureni,Rumänien,2553.0
12915,Pujehun,Sierra Leone,7926.0
12916,Richtenberg,Tyskland,1429.0
12917,Shikotan,Ryssland,2100.0
12918,Languan,Kina,0.0
12919,Serón,Spanien,2432.0
12920,Zhowagoin,Kina,0.0
12921,Mottola,Italien,13146.0
12922,Roshtqal’a,Tajikistan,0.0
12923,Domburg,Nederländerna,1435.0
12924,Gamones,Spanien,105.0
12925,Salitrillo,Mexiko,1134.0
12926,Nsunga,Tanzania,20049.0
12927,Subusub,Filippinerna,6887.0
12928,Santa Cruz Yucucani,Mexiko,1274.0
12929,Cheremshan,Ryssland,5646.0
12930,Mockrehna,Tyskland,5718.0
12931,Mys-Kamennyy,Ryssland,1745.0
12932,Belköl,Kazakstan,1486.0
12933,Izyaslav,Ukraina,17758.0
12934,Sicheviţa,Rumänien,2643.0
12935,Buitenpost,Nederländerna,5120.0
12936,Stigliano,Italien,4520.0
12937,Hvardiiske,Ukraina,772.0
12938,Zebrzydowice,Polen,2700.0
12939,Necşeşti,Rumänien,1562.0
12940,Tuy Phước,Vietnam,0.0
12941,Diges,Frankrike,1103.0
12942,Vidovec,Kroatien,851.0
12943,Santa Clara de Olimar,Uruguay,2291.0
12944,Dollar Point,USA,1215.0
12945,Pionki,Polen,19966.0
12946,Kłomnice,Polen,2802.0
12947,Ingleton,United Kingdom,1772.0
12948,Glembochino,Ryssland,0.0
12949,Eliseni,Rumänien,1104.0
12950,Parit Raja,Malaysia,17441.0
12951,Radda in Chianti,Italien,708.0
12952,Adlington,United Kingdom,7965.0
12953,Orés,Spanien,103.0
12954,Derhachi,Ukraina,19322.0
12955,Posušje,Bosnien och Hercegovina,0.0
12956,Bretea Română,Rumänien,301.0
12957,Montalbán,Venezuela,0.0
12958,General Alatriste (San Joaquín),Mexiko,1104.0
12959,Tangerine,USA,2865.0
12960,Krailling,Tyskland,7528.0
12961,Westerhorn,Tyskland,1293.0
12962,Frinco,Italien,183.0
12963,Pajaro,USA,3070.0
12964,Saint-Aubert,Frankrike,1448.0
12965,Banquero,Filippinerna,2173.0
12966,El Progreso,Mexiko,1094.0
12967,Planes,Spanien,798.0
12968,Quintín Arauz,Mexiko,5178.0
12969,Ntungamo,Uganda,16915.0
12970,Nūrābād,Iran,64041.0
12971,Eberau,Austria,366.0
12972,Piraju,Brasilien,25270.0
12973,Greentree,USA,11367.0
12974,Łoniów,Polen,450.0
12975,Spelle,Tyskland,8327.0
12976,Los Divorciados,Mexiko,1118.0
12977,Saint-Gaudens,Frankrike,12193.0
12978,Vasyshcheve,Ukraina,5862.0
12979,Canterwood,USA,3079.0
12980,Dassel,Tyskland,11287.0
12981,Suizhou,Kina,323945.0
12982,El Refugio,Mexiko,2425.0
12983,Benoy,Tchad,15717.0
12984,Fustiñana,Spanien,2550.0
12985,Miggiano,Italien,3595.0
12986,Garruchos,Argentina,1152.0
12987,Casilda,Argentina,32002.0
12988,Aurano,Italien,89.0
12989,Barete,Italien,386.0
12990,Monarch Mill,USA,1811.0
12991,Hâsbaïya,Libanon,0.0
12992,Lilio,Filippinerna,15246.0
12993,Broome,Australien,12766.0
12994,Langewiesen,Tyskland,3793.0
12995,Strunkovice nad Blanicí,Czechia,1230.0
12996,Ladenburg,Tyskland,11479.0
12997,Cherga,Ryssland,1900.0
12998,Zamora,Mexiko,141627.0
12999,Fort Beaufort,South Africa,58419.0
13000,Pelagićevo,Bosnien och Hercegovina,4.0
13001,Necton,United Kingdom,1798.0
13002,Revelstoke,Kanada,7533.0
13003,Burē,Etiopien,22038.0
13004,Merksplas,Belgien,7963.0
13005,Min’an,Kina,5000.0
13006,Csemő,Ungern,4411.0
13007,Parma Heights,USA,20246.0
13008,Mischii,Rumänien,1841.0
13009,Cacouna,Kanada,1939.0
13010,Río Branco,Uruguay,13567.0
13011,Bibiani,Ghana,19076.0
13012,Maba,Kina,113609.0
13013,Vendôme,Frankrike,19226.0
13014,Ahun,Frankrike,1583.0
13015,Nueil-les-Aubiers,Frankrike,5195.0
13016,San Giovanni Suergiu,Italien,3198.0
13017,Bukonyo,Tanzania,4051.0
13018,Fiorentino,San Marino,2510.0
13019,Ugra,Ryssland,4721.0
13020,Ðelekovec,Kroatien,0.0
13021,Peyrat-de-Bellac,Frankrike,1168.0
13022,Stonehouse,United Kingdom,5500.0
13023,Buchbrunn,Tyskland,1061.0
13024,Goshen,USA,1589.0
13025,Glen Ridge,USA,7660.0
13026,Samahil,Mexiko,2826.0
13027,Sapucaí,Paraguay,1932.0
13028,Altınova,Turkiet,0.0
13029,Bad Hersfeld,Tyskland,30725.0
13030,Nelahozeves,Czechia,1313.0
13031,Mortagne-sur-Sèvre,Frankrike,6428.0
13032,Landrake,United Kingdom,1115.0
13033,Xinhu,Kina,0.0
13034,Lusigny,Frankrike,1476.0
13035,Casa Grande,USA,51460.0
13036,Podgorenskiy,Ryssland,6652.0
13037,Edgemont Park,USA,2358.0
13038,Vyshneve,Ukraina,33183.0
13039,Santa Rita Aplaya,Filippinerna,9737.0
13040,Bicazu Ardelean,Rumänien,4212.0
13041,Putre,Chile,0.0
13042,Mandalawangi,Indonesien,0.0
13043,Colombier,Schweiz,9297.0
13044,Tiantai Chengguanzhen,Kina,0.0
13045,Tyukhtet,Ryssland,5138.0
13046,Werbkowice,Polen,3030.0
13047,Lake San Marcos,USA,4437.0
13048,Middelburg,South Africa,154706.0
13049,Chignahuapan,Mexiko,19608.0
13050,Cervantes,Filippinerna,3099.0
13051,Hayti,USA,2787.0
13052,Aholfing,Tyskland,1735.0
13053,Synoikismós Chavaríou,Grekland,1466.0
13054,Noviglio,Italien,1751.0
13055,Tornillo,USA,1568.0
13056,Nuevo,USA,6447.0
13057,Aleg,Mauritania,15211.0
13058,Lytkarino,Ryssland,50619.0
13059,Laguna Niguel,USA,65806.0
13060,Passau,Tyskland,50560.0
13061,Campestre las Palomas [Fraccionamiento],Mexiko,4488.0
13062,Kouvola,Finland,31133.0
13063,Takhtamygda,Ryssland,1125.0
13064,Opava,Czechia,60252.0
13065,Bakenberg,Nederländerna,1025.0
13066,Poasco-Sorigherio,Italien,2537.0
13067,Caux,Frankrike,2210.0
13068,Yaxcopoil,Mexiko,1149.0
13069,Cái Nước,Vietnam,0.0
13070,Izúcar de Matamoros,Mexiko,42936.0
13071,Wilhelmsthal,Tyskland,4123.0
13072,Tørring,Danmark,2370.0
13073,Compton,USA,98462.0
13074,Sankt Margarethen an der Raab,Austria,1114.0
13075,Ibrā’,Oman,25265.0
13076,Kolomyagi,Ryssland,39945.0
13077,Aqsay,Kazakstan,34799.0
13078,Orlová,Czechia,34282.0
13079,Kórnos,Cypern,1943.0
13080,Peißen,Tyskland,1271.0
13081,Williams Lake,Kanada,14168.0
13082,Old Basing,United Kingdom,3876.0
13083,Canarana,Brasilien,10785.0
13084,Utevka,Ryssland,4556.0
13085,Los Órganos de San Agustín,Mexiko,1506.0
13086,San Andrés,Mexiko,2299.0
13087,Saint-Michel-Chef-Chef,Frankrike,3435.0
13088,Granada,Colombia,0.0
13089,Beautor,Frankrike,3005.0
13090,Orange City,USA,11210.0
13091,Knesselare,Belgien,7889.0
13092,Kolaka,Indonesien,0.0
13093,Vânători,Rumänien,3702.0
13094,Ban Thai Tan,Thailand,14430.0
13095,Orosh,Albanien,0.0
13096,Hedingen,Schweiz,2835.0
13097,Peruíbe,Brasilien,63030.0
13098,Madridejos,Filippinerna,6387.0
13099,Cârcea,Rumänien,0.0
13100,Pangao,Filippinerna,2314.0
13101,Long Beach,USA,1364.0
13102,Winterbourne Stoke,United Kingdom,0.0
13103,Pesaro,Italien,77241.0
13104,Mistley,United Kingdom,1696.0
13105,Olmeda del Rey,Spanien,215.0
13106,Novobiryusinskiy,Ryssland,4855.0
13107,New Town,USA,2521.0
13108,Dausa,Indien,73034.0
13109,Zofingen,Schweiz,11451.0
13110,Nagpur,Indien,2228018.0
13111,Milicz,Polen,12169.0
13112,Quequeña,Peru,0.0
13113,Paraburdoo,Australien,1723.0
13114,Wettswil / Wettswil (Dorf),Schweiz,3605.0
13115,Portmarnock,Irland,9285.0
13116,Karmėlava,Litauen,1395.0
13117,Długie,Polen,2600.0
13118,Playarrica,Colombia,5381.0
13119,Kratovo,Makedonien,10288.0
13120,Nishiwaki,Japan,36953.0
13121,Log pri Brezovici,Slovenien,1634.0
13122,Wonder Lake,USA,4026.0
13123,Dongsheng,Kina,0.0
13124,Ḩawrah,Yemen,0.0
13125,Gununganyar,Indonesien,0.0
13126,Focene,Italien,3143.0
13127,Atkaracalar,Turkiet,5088.0
13128,Horka,Tyskland,2053.0
13129,Granera,Spanien,80.0
13130,Tallaboa Alta,Puerto Rico,2243.0
13131,Victor Harbor,Australien,7760.0
13132,Zavidovo,Ryssland,7400.0
13133,Mahora,Spanien,1346.0
13134,Mifflinburg,USA,3520.0
13135,Costeşti,Rumänien,10654.0
13136,Villa del Dique,Argentina,2829.0
13137,Villanova,Italien,1000.0
13138,Yalutorovsk,Ryssland,35892.0
13139,Munébrega,Spanien,436.0
13140,Kafur,Nigeria,0.0
13141,Fuente el Olmo de Fuentidueña,Spanien,117.0
13142,Pietrele,Rumänien,1462.0
13143,Kemang,Indonesien,0.0
13144,Chakrāta,Indien,3348.0
13145,Shillingstone,United Kingdom,1170.0
13146,Großkarolinenfeld,Tyskland,6865.0
13147,Akrolímni,Grekland,1398.0
13148,Georgetown,USA,2367.0
13149,Žabčice,Czechia,1492.0
13150,Columbia,USA,119108.0
13151,Krasnaya Gorka,Ryssland,1088.0
13152,Ruitz,Frankrike,1622.0
13153,Jaltenango de la Paz,Mexiko,10427.0
13154,Santo Stefano Belbo,Italien,2899.0
13155,Três Pontas,Brasilien,43749.0
13156,Mundaka,Spanien,0.0
13157,Fontanelas,Portugal,6001.0
13158,Almanza,Spanien,644.0
13159,Lionel Town,Jamaica,5362.0
13160,les Borges del Camp,Spanien,1842.0
13161,Pandua,Indien,28205.0
13162,Aliwal North,South Africa,44436.0
13163,Tanais,Ryssland,1942.0
13164,Formello,Italien,5143.0
13165,Eichberg,Schweiz,1260.0
13166,Selnica,Kroatien,0.0
13167,Vinsady,Ryssland,8949.0
13168,Galliano,USA,7676.0
13169,Pleasant Grove,USA,38052.0
13170,Heckington,United Kingdom,3823.0
13171,Mount Greenwood,USA,18783.0
13172,Mânăstireni,Rumänien,1771.0
13173,Santa María Zoquitlán,Mexiko,1686.0
13174,East Concord,USA,42605.0
13175,Navaquesera,Spanien,47.0
13176,Anūpgarh,Indien,33309.0
13177,Anini-y,Filippinerna,0.0
13178,Erfurt,Tyskland,203254.0
13179,Xinzhou,Kina,0.0
13180,Blausasc,Frankrike,1302.0
13181,Nisipari,Rumänien,1678.0
13182,Saint-Porchaire,Frankrike,1437.0
13183,Saint-Hilaire-de-Brethmas,Frankrike,3992.0
13184,Marocchi,Italien,1175.0
13185,Charleston,USA,132609.0
13186,Bugana,Nigeria,9737.0
13187,Kolitzheim,Tyskland,5602.0
13188,Sauxillanges,Frankrike,1116.0
13189,San Andrés Ixtlahuaca,Mexiko,1041.0
13190,Mokrá Hora,Czechia,2612.0
13191,Ngereklmadel,Palau,0.0
13192,Mbarara,Uganda,97500.0
13193,Celle di Bulgheria,Italien,1105.0
13194,Schengen,Luxemburg,470.0
13195,Ciudad de Nanacamilpa,Mexiko,12177.0
13196,Rich Hill,USA,1336.0
13197,Haysville,USA,11212.0
13198,Pocosol,Costa Rica,2947.0
13199,Dalakovo,Ryssland,9994.0
13200,Barolo,Italien,428.0
13201,Fairview,USA,3099.0
13202,Husum,Tyskland,2336.0
13203,Middleburg Heights,USA,15696.0
13204,Bégaar,Frankrike,1018.0
13205,Tecuanipa,Mexiko,1378.0
13206,Schänis,Schweiz,3404.0
13207,Awans,Belgien,8612.0
13208,Songlong,Kina,0.0
13209,Arthur’s Town,Bahamas,1175.0
13210,Kuran wa Munjan,Afganistan,0.0
13211,Değirmendere,Turkiet,0.0
13212,Weyer,Austria,3296.0
13213,Petit-Noir,Frankrike,1002.0
13214,Anibongan,Filippinerna,2468.0
13215,Comberton,United Kingdom,2346.0
13216,Torre de Arcas,Spanien,96.0
13217,Mariapfarr,Austria,1612.0
13218,Roumazières-Loubert,Frankrike,2453.0
13219,Sárti,Grekland,1156.0
13220,Warner Robins,USA,73490.0
13221,Viișoara,Rumänien,1196.0
13222,East Haven,USA,29257.0
13223,Mrozy,Polen,1789.0
13224,Taygan,Mongoliet,0.0
13225,La Trinidad,Mexiko,1051.0
13226,Jaluco,Mexiko,3156.0
13227,Lincoln City,USA,8536.0
13228,Tayaman,Filippinerna,5050.0
13229,Vereya,Ryssland,4916.0
13230,Ejido Viejo,Mexiko,1313.0
13231,Wommelgem,Belgien,11917.0
13232,Zürich (Kreis 7) / Fluntern,Schweiz,7009.0
13233,Kardítsa,Grekland,32789.0
13234,Tamalpais Valley,USA,7000.0
13235,Shafton,United Kingdom,0.0
13236,Four Marks,United Kingdom,5674.0
13237,Ban Hatgnao,Laos,0.0
13238,Szentlőrinc,Ungern,7123.0
13239,Bridgeport,USA,33878.0
13240,James Craik,Argentina,4560.0
13241,Usedom,Tyskland,1929.0
13242,Lead,USA,2999.0
13243,Fairview,USA,10003.0
13244,Sérvia,Grekland,3390.0
13245,Sladkovo,Ryssland,3455.0
13246,San Vicente Pacaya,Guatemala,7162.0
13247,San Mariano,Filippinerna,12441.0
13248,Nalus,Filippinerna,3920.0
13249,Evansville,USA,2931.0
13250,Ningnan,Kina,0.0
13251,Kocakoç,Turkiet,0.0
13252,U Minh,Vietnam,0.0
13253,Old Orchard Beach,USA,8624.0
13254,Slaný,Czechia,15070.0
13255,Xaysetha,Laos,0.0
13256,Tolocirio,Spanien,58.0
13257,Borgosesia,Italien,10967.0
13258,Kabacan,Filippinerna,31769.0
13259,Conselheiro Lafaiete,Brasilien,111596.0
13260,Shimoda,Japan,26704.0
13261,San Pablo el Grande,Mexiko,1053.0
13262,Santa Luzia,Brasilien,243503.0
13263,Seseña,Spanien,16231.0
13264,Frontenac,USA,3422.0
13265,Koas Krala,Kambodja,0.0
13266,Conches-en-Ouche,Frankrike,4506.0
13267,Veinte de Noviembre,Mexiko,1420.0
13268,Huşi,Rumänien,29129.0
13269,Corbi,Rumänien,4381.0
13270,Norway,USA,2748.0
13271,Bellegarde-sur-Valserine,Frankrike,11699.0
13272,Lerín,Spanien,1807.0
13273,Tamaghzah,Tunisien,2750.0
13274,Kehtna,Estland,1579.0
13275,El Palmar Grande,Mexiko,1127.0
13276,Prakhon Chai,Thailand,0.0
13277,Gerolzhofen,Tyskland,6781.0
13278,Ceyzériat,Frankrike,2639.0
13279,Upper Hell's Gate,"Bonaire, Saint Eustatius and Saba ",2810.0
13280,Córdoba (Santa Leticia),Mexiko,11720.0
13281,Amuco de la Reforma,Mexiko,2703.0
13282,Sarupathar,Indien,9827.0
13283,Saint Marys,USA,13070.0
13284,Bunyip,Australien,2232.0
13285,Yizhang Chengguanzhen,Kina,0.0
13286,Trezzo sull'Adda,Italien,11782.0
13287,Rzepiennik Strzyżewski,Polen,1324.0
13288,‘Abasān al Kabīrah,Palestinian Territory,18163.0
13289,Sadirac,Frankrike,3266.0
13290,Hauzenberg,Tyskland,12522.0
13291,Furao,Filippinerna,2343.0
13292,Carcès,Frankrike,2767.0
13293,Rittersgrün,Tyskland,1889.0
13294,Lohaghāt,Indien,6758.0
13295,Hayama,Japan,31136.0
13296,Kelsterbach,Tyskland,13836.0
13297,Pyrgos,Cypern,1407.0
13298,Mníšek pod Brdy,Czechia,4181.0
13299,Saint-Martin-Lacaussade,Frankrike,1196.0
13300,Buscate,Italien,4656.0
13301,Batschuns,Austria,1181.0
13302,Homberg,Tyskland,14903.0
13303,Areosa,Portugal,4626.0
13304,Söchau,Austria,724.0
13305,Aschau im Zillertal,Austria,1840.0
13306,Lubukgadang,Indonesien,0.0
13307,Ögöömör,Mongoliet,0.0
13308,Moctezuma,Mexiko,4326.0
13309,Haw River,USA,2402.0
13310,Chesterfield,United Kingdom,113057.0
13311,Zuru,Nigeria,24338.0
13312,Vakhrushev,Ryssland,2884.0
13313,Levittown,USA,51881.0
13314,Potam,Mexiko,6417.0
13315,Cojumatlán de Régules,Mexiko,6763.0
13316,Mountain View,USA,3924.0
13317,Inawayan,Filippinerna,5345.0
13318,Rapallo,Italien,26993.0
13319,Pailly,Schweiz,430.0
13320,Chanteloup,Frankrike,1304.0
13321,Bashtanka,Ukraina,12657.0
13322,Obdam,Nederländerna,5690.0
13323,Montanara,Italien,1853.0
13324,Ranten,Austria,621.0
13325,Zocoteaca de León,Mexiko,1237.0
13326,San Ignacio,Filippinerna,6300.0
13327,Palù del Fersina,Italien,195.0
13328,San Mamés de Burgos,Spanien,285.0
13329,Bobrowniki,Polen,2926.0
13330,Estanzuela de Romero,Mexiko,1505.0
13331,Nødebo,Danmark,1875.0
13332,Sayreville,USA,44920.0
13333,Felino,Italien,4226.0
13334,Chepigana,Panama,0.0
13335,Rossford,USA,6512.0
13336,Kreva,Vitryssland,3100.0
13337,Tuszyn,Polen,7124.0
13338,Beycuma,Turkiet,0.0
13339,Havre,USA,9834.0
13340,Lenguazaque,Colombia,2555.0
13341,Bordils,Spanien,1434.0
13342,Apas,Mexiko,1485.0
13343,Renfrew,Kanada,8018.0
13344,Pajarón,Spanien,113.0
13345,Nueva Libertad,Mexiko,1329.0
13346,Živinice,Bosnien och Hercegovina,13641.0
13347,Chiliile,Rumänien,774.0
13348,Forestville,Kanada,3543.0
13349,Pont Rouge,Kanada,7518.0
13350,Fresnedilla,Spanien,99.0
13351,Cuautempan,Mexiko,1094.0
13352,Akçadağ,Turkiet,14788.0
13353,Frederick,USA,69479.0
13354,Phan Thong,Thailand,18708.0
13355,Shaqlāwah,Irak,0.0
13356,Monreal,Filippinerna,4759.0
13357,Mircze,Polen,1480.0
13358,Satu Nou,Rumänien,1610.0
13359,Talana,Italien,976.0
13360,Kunnattūr,Indien,7326.0
13361,Eureka,USA,27017.0
13362,Al Faşāyil,Palestinian Territory,1064.0
13363,San Agustin,Filippinerna,3289.0
13364,Zerf,Tyskland,1683.0
13365,Guadalajara,Spanien,83039.0
13366,Real,Filippinerna,9163.0
13367,Gaozhou,Kina,166069.0
13368,Maasin,Filippinerna,18313.0
13369,Lembeni,Tanzania,16008.0
13370,Slavkov u Brna,Czechia,5936.0
13371,San Pedro Yancuitlalpan,Mexiko,2694.0
13372,Farnes,Norge,3465.0
13373,Rio Negrinho,Brasilien,41914.0
13374,Lone Jack,USA,1124.0
13375,Ijebu-Igbo,Nigeria,109261.0
13376,Serravalle Sesia,Italien,4656.0
13377,Channarāyapatna,Indien,37681.0
13378,Alejandro Roca,Argentina,4724.0
13379,Tempe Junction,USA,158368.0
13380,Safford,USA,9683.0
13381,Monguí,Colombia,2299.0
13382,Gerace,Italien,1043.0
13383,Ustronie Morskie,Polen,2081.0
13384,Geisenheim,Tyskland,11949.0
13385,Naples,USA,2212.0
13386,Santa Bárbara,Guatemala,12906.0
13387,Nauwalde,Tyskland,1119.0
13388,Leer,Tyskland,33886.0
13389,Ménéac,Frankrike,1808.0
13390,Zamość,Polen,66034.0
13391,Kisovec,Slovenien,1838.0
13392,Alba-la-Romaine,Frankrike,1194.0
13393,Ampuis,Frankrike,2311.0
13394,Kalaisan,Filippinerna,2494.0
13395,Tagondaing,Myanmar,4994.0
13396,Parāsia,Indien,39440.0
13397,Mainaschaff,Tyskland,8382.0
13398,Missour,Morocko,0.0
13399,Lebbeke,Belgien,17372.0
13400,Verkh-Bekhtemir,Ryssland,1200.0
13401,Tidili Mesfioua,Morocko,0.0
13402,Marulanda,Colombia,1256.0
13403,Tepusteca,Honduras,1638.0
13404,San Justo,Argentina,1473.0
13405,Bajestān,Iran,0.0
13406,Five Points,USA,1265.0
13407,Mérignies,Frankrike,2270.0
13408,Holbav,Rumänien,1506.0
13409,Aggius,Italien,1381.0
13410,Wernersdorf,Austria,161.0
13411,Pechenga,Ryssland,2791.0
13412,Thị Trấn Gành Hào,Vietnam,0.0
13413,Bécon-les-Granits,Frankrike,2525.0
13414,Baileys Crossroads,USA,23643.0
13415,Borken,Tyskland,40876.0
13416,Pujerra,Spanien,316.0
13417,Boisbriand,Kanada,26483.0
13418,Ishtixon,Uzbekistan,13024.0
13419,Amboasary,Madagaskar,36082.0
13420,Mesa del Huracán,Mexiko,1102.0
13421,Langenenslingen,Tyskland,3486.0
13422,Föritz,Tyskland,3693.0
13423,Sevaster,Albanien,0.0
13424,Horton Kirby,United Kingdom,1241.0
13425,Montegiorgio,Italien,2616.0
13426,Orerokpe,Nigeria,5893.0
13427,Javānrūd,Iran,38657.0
13428,Olomouc,Czechia,101268.0
13429,Matyushkino,Ryssland,0.0
13430,Sankt Gallenkirch,Austria,1465.0
13431,Fugar,Nigeria,0.0
13432,San José Aztatla,Mexiko,2586.0
13433,Valbonne,Frankrike,12633.0
13434,Petreşti,Rumänien,1646.0
13435,Gafanha da Nazaré,Portugal,14840.0
13436,Iyana-Ofa,Nigeria,0.0
13437,Pyt-Yakh,Ryssland,41500.0
13438,Strelka,Ryssland,5433.0
13439,Vniissok,Ryssland,7876.0
13440,Arboleas,Spanien,2614.0
13441,Schöndorf,Austria,1654.0
13442,Mazuecos de Valdeginate,Spanien,119.0
13443,Ma‘arrat an Nu‘mān,Syria,0.0
